Id,Name,CourseCode,CourseUnit,Semester,Description,courseCategory,DegreeId,DepartmentId,LevelId,Status,Prerequisite,InstitutionProviderId,CreatedDate,UpdatedDate
1537,Introduction to Entrepreneurial Studies II (Practical),GES2206,2,2,,0,2,7,2,,,,1900-01-01,1900-01-02
1538,Introduction to Logic (Argument and Evidence),GES2207,3,2,,0,2,7,2,,,,1900-01-01,1900-01-02
1539,Introduction to Logic (Argument and Evidence),GES2207,3,2,,0,2,7,2,,,,1900-01-01,1900-01-02
1540,"West African People,Culture and Language",GES2208 ,2,2,,0,2,7,2,,,,1900-01-01,1900-01-02
1541,Introduction to Enterpreneurial Education,GES2209,2,2,,0,2,7,2,,,,1900-01-01,1900-01-02
1542,Introduction to Enterpreneurial Education,GES2209,2,2,,0,2,7,2,,,,1900-01-01,1900-01-02
1543,Computer Application,GES3101,2,1,,0,2,7,3,,,,1900-01-01,1900-01-02
1544,Computer Application,GES3101,2,1,,0,2,7,3,,,,1900-01-01,1900-01-02
1545,Enterprenuership Education,GES3102,2,1,,0,2,7,3,,,,1900-01-01,1900-01-02
1546,Enterprenuership Education,GES3102,2,1,,0,2,7,3,,,,1900-01-01,1900-01-02
1547,Entrepreneural Education II,GES3103,0,1,,0,2,7,3,,,,1900-01-01,1900-01-02
1548,Entrepreneural Education II,GES3103,0,1,,0,2,7,3,,,,1900-01-01,1900-01-02
1549,Entrepreneural Education II,GES3103B,0,1,,0,2,7,3,,,,1900-01-01,1900-01-02
1550,Entrepreneurship education,GES3201,2,2,,0,2,7,3,,,,1900-01-01,1900-01-02
1551,Entrepreneurship education,GES3201,2,2,,0,2,7,3,,,,1900-01-01,1900-01-02
1552,Entrepreneural Education II,GES3203,0,2,,0,2,7,3,,,,1900-01-01,1900-01-02
1553,Entrepreneural Education II,GES3203,0,2,,0,2,7,3,,,,1900-01-01,1900-01-02
1554,Engineering Society,GET101,1,1,,0,2,13,1,,,,1900-01-01,1900-01-02
1555,Engineering Graphics and Solid Modelling 1,GET102,2,2,,0,2,14,1,,,,1900-01-01,1900-01-02
1556,Engineering Graphics and Solid Modelling I,GET102,2,2,,0,2,13,1,,,,1900-01-01,1900-01-02
1557,INTRODUCTION TOGEOLOGY 1,GEY101,2,1,,0,2,27,1,,,,1900-01-01,1900-01-02
1558,INTRODUCTION TOGEOLOGY 11,GEY102,2,2,,0,2,27,1,,,,1900-01-01,1900-01-02
1559,Introduction to Geology 1,GEY1101,3,1,,0,2,27,1,,,,1900-01-01,1900-01-02
1560,Introduction to Geology II,GEY1202,3,2,,0,2,27,1,,,,1900-01-01,1900-01-02
1561,Crystallography and Mineralogy,GEY2101,3,1,,0,2,27,2,,,,1900-01-01,1900-01-02
1562,Introduction to Petrology,GEY2102,3,1,,0,2,27,2,,,,1900-01-01,1900-01-02
1563,Optical Mineralogy I,GEY2103,2,1,,0,2,27,2,,,,1900-01-01,1900-01-02
1564,Introduction to Petrology,GEY2104,2,1,,0,2,27,2,,,,1900-01-01,1900-01-02
1565,Elementary Surveying,GEY2105,3,1,,0,2,27,2,,,,1900-01-01,1900-01-02
1566,Elementary Surveying,GEY2106,2,1,,1,2,27,2,,,,1900-01-01,1900-01-02
1567,Macropaleontology,GEY2107,3,1,,0,2,27,3,,,,1900-01-01,1900-01-02
1568,Macropalaeontogy,GEY2108,2,1,,1,2,27,2,,,,1900-01-01,1900-01-02
1569,Geological Map Interpretation,GEY2109,2,1,,1,2,27,2,,,,1900-01-01,1900-01-02
1570,GEMSTONE TECHNOLOGY & ROCK POLISHING,GEY2111,2,1,,1,2,27,2,,,,1900-01-01,1900-01-02
1571,GEMSTONE TECHNOLOGY & ROCK POLISHING,GEY2121,2,1,,1,2,27,2,,,,1900-01-01,1900-01-02
1572,INTRODUCTION TO PETROLOGY,GEY2125,2,1,,0,2,27,2,,,,1900-01-01,1900-01-02
1573,MACROPALEONTOLOGY,GEY2127,2,1,,1,2,27,2,,,,1900-01-01,1900-01-02
1574,Principles of Stratigraphy,GEY2202,2,2,,0,2,27,2,,,,1900-01-01,1900-01-02
1575,Field Geology and Geo-report writing,GEY2203,3,2,,0,2,27,2,,,,1900-01-01,1900-01-02
1576,Field Geology & Map Interpretation,GEY2204,3,2,,0,2,27,2,,,,1900-01-01,1900-01-02
1577,Introduction to Mining & Mineral Processing,GEY2206,2,2,,0,2,27,2,,,,1900-01-01,1900-01-02
1578,Quaternary and Environmental Geology,GEY2208,2,2,,0,2,27,2,,,,1900-01-01,1900-01-02
1579,Quaternary and Environmental Geology,GEY2208,2,2,,1,2,27,2,,,,1900-01-01,1900-01-02
1580,FIELD GEOLOGY,GEY2224,2,2,,0,2,27,2,,,,1900-01-01,1900-01-02
1581,GEO-REPORT WRITING,GEY2226,1,2,,1,2,27,2,,,,1900-01-01,1900-01-02
1582,SIWES I,GEY2299,3,2,,0,2,27,2,,,,1900-01-01,1900-01-02
1583,Sedimentology & Sedimentary Petrology,GEY3101,3,1,,0,2,27,3,,,,1900-01-01,1900-01-02
1584,Igneous and Metamorphic Petrology,GEY3102,3,1,,0,2,27,3,,,,1900-01-01,1900-01-02
1585,Igneous Petrology,GEY3103,3,1,,0,2,27,3,,,,1900-01-01,1900-01-02
1586,Structural Geology,GEY3105,3,1,,0,2,27,3,,,,1900-01-01,1900-01-02
1587,Micropaleontology,GEY3106,3,1,,1,2,27,3,,,,1900-01-01,1900-01-02
1588,Advanced Mineralogy,GEY3107,3,1,,0,2,27,3,,,,1900-01-01,1900-01-02
1589,Fundamentals of Geochemistry,GEY3109,2,1,,0,2,27,3,,,,1900-01-01,1900-01-02
1590,Principles of Stratigraphy,GEY3111,2,1,,0,2,27,3,,,,1900-01-01,1900-01-02
1591,Micropalaentology ,GEY3113,3,1,,0,2,27,3,,,,1900-01-01,1900-01-02
1592,Metamorphic Petrology,GEY3115,3,1,,0,2,27,3,,,,1900-01-01,1900-01-02
1593,Introduction to Mineral Economics,GEY3116,2,1,,2,2,27,3,,,,1900-01-01,1900-01-02
1594,Principles of Geophysics,GEY3117,2,1,,0,2,27,3,,,,1900-01-01,1900-01-02
1595,Remote Sensing & Photogeological Interpretation,GEY3119,2,1,,0,2,27,3,,,,1900-01-01,1900-01-02
1596,PRINCIPLES OF GEOPHYSICS,GEY3131,2,1,,1,2,27,3,,,,1900-01-01,1900-01-02
