Id,Name,Description,StateId,CreatedDate,UpdatedDate
222,Igbo Eze South,,12,4/20/2024,4/20/2024
223,Aninri,,12,4/20/2024,4/20/2024
224,Awgu,,12,4/20/2024,4/20/2024
225,Isi Uzo,,12,4/20/2024,4/20/2024
226,Nkanu East,,12,4/20/2024,4/20/2024
227,Nkanu West,,12,4/20/2024,4/20/2024
228,Nsukka,,12,4/20/2024,4/20/2024
229,Ishielu,,12,4/20/2024,4/20/2024
230,Enugu East,,12,4/20/2024,4/20/2024
231,Enugu North,,12,4/20/2024,4/20/2024
232,Enugu South,,12,4/20/2024,4/20/2024
233,Oji River,,12,4/20/2024,4/20/2024
234,Udenu,,12,4/20/2024,4/20/2024
235,Udi,,12,4/20/2024,4/20/2024
236,Ezeagu,,12,4/20/2024,4/20/2024
237,Igbo Etiti,,12,4/20/2024,4/20/2024
238,Igbo Eze North,,12,4/20/2024,4/20/2024
239,Uzo-Uwani,,12,4/20/2024,4/20/2024
240,Igueben,,13,4/20/2024,4/20/2024
241,Ikpoba-Okha,,13,4/20/2024,4/20/2024
242,Oredo,,13,4/20/2024,4/20/2024
243,Akoko-Edo,,13,4/20/2024,4/20/2024
244,Egor,,13,4/20/2024,4/20/2024
245,Esan Central,,13,4/20/2024,4/20/2024
246,Esan North-East,,13,4/20/2024,4/20/2024
247,Esan South-East,,13,4/20/2024,4/20/2024
248,Esan West,,13,4/20/2024,4/20/2024
249,Orhionmwon,,13,4/20/2024,4/20/2024
250,Ovia North-East,,13,4/20/2024,4/20/2024
251,Ovia South-West,,13,4/20/2024,4/20/2024
252,Etsako Central,,13,4/20/2024,4/20/2024
253,Etsako East,,13,4/20/2024,4/20/2024
254,Etsako West,,13,4/20/2024,4/20/2024
255,Owan East,,13,4/20/2024,4/20/2024
256,Owan West,,13,4/20/2024,4/20/2024
257,Uhunmwonde,,13,4/20/2024,4/20/2024
258,Efon,,14,4/20/2024,4/20/2024
259,Emure,,14,4/20/2024,4/20/2024
260,Ido-Osi,,14,4/20/2024,4/20/2024
261,Ijero,,14,4/20/2024,4/20/2024
262,Ado-Ekiti,,14,4/20/2024,4/20/2024
263,Ikere,,14,4/20/2024,4/20/2024
264,Oye,,14,4/20/2024,4/20/2024
265,Aiyekire (Gbonyin),,14,4/20/2024,4/20/2024
266,Ikole,,14,4/20/2024,4/20/2024
267,Ilejemeje,,14,4/20/2024,4/20/2024
268,Irepodun/Ifelodun,,14,4/20/2024,4/20/2024
269,Ekiti East,,14,4/20/2024,4/20/2024
270,Ekiti South-West,,14,4/20/2024,4/20/2024
271,Ekiti West,,14,4/20/2024,4/20/2024
272,"Ise/Orun, Moba",,14,4/20/2024,4/20/2024
273,Akko,,15,4/20/2024,4/20/2024
274,Balanga,,15,4/20/2024,4/20/2024
275,Billiri,,15,4/20/2024,4/20/2024
276,Dukku,,15,4/20/2024,4/20/2024
277,Dunakaye,,15,4/20/2024,4/20/2024
278,Gombe,,15,4/20/2024,4/20/2024
279,Kaltungo,,15,4/20/2024,4/20/2024
280,Kwami,,15,4/20/2024,4/20/2024
281,Nafada/Bajoga,,15,4/20/2024,4/20/2024
282,Shomgom,,15,4/20/2024,4/20/2024
283,Yamaltu/Deba,,15,4/20/2024,4/20/2024
284,Ezinihitte Mbaise,,16,4/20/2024,4/20/2024
285,Ideato North,,16,4/20/2024,4/20/2024
286,Ideato South,,16,4/20/2024,4/20/2024
287,Ihitte/Uboma,,16,4/20/2024,4/20/2024
288,Aboh Mbaise,,16,4/20/2024,4/20/2024
289,Ahiazu Mbaise,,16,4/20/2024,4/20/2024
290,Ehime Mbano,,16,4/20/2024,4/20/2024
291,Njaba,,16,4/20/2024,4/20/2024
292,Nkwerre,,16,4/20/2024,4/20/2024
293,Nwangele,,16,4/20/2024,4/20/2024
294,Obowo,,16,4/20/2024,4/20/2024
295,Oguta,,16,4/20/2024,4/20/2024
296,Ikeduru,,16,4/20/2024,4/20/2024
297,Isiala Mbano,,16,4/20/2024,4/20/2024
298,Isu,,16,4/20/2024,4/20/2024
299,Mbaitoli,,16,4/20/2024,4/20/2024
300,Ngor Okpala,,16,4/20/2024,4/20/2024
301,Ohaji/Egbema,,16,4/20/2024,4/20/2024
302,Oru East,,16,4/20/2024,4/20/2024
303,Oru West,,16,4/20/2024,4/20/2024
304,Owerri Municipal,,16,4/20/2024,4/20/2024
305,Okigwe,,16,4/20/2024,4/20/2024
306,Onuimo,,16,4/20/2024,4/20/2024
307,Orlu,,16,4/20/2024,4/20/2024
308,Orsu,,16,4/20/2024,4/20/2024
309,Owerri North,,16,4/20/2024,4/20/2024
310,Owerri West,,16,4/20/2024,4/20/2024
311,Nwangele,,16,4/20/2024,4/20/2024
312,Buji,,17,4/20/2024,4/20/2024
313,Dutse,,17,4/20/2024,4/20/2024
314,Gagarawa,,17,4/20/2024,4/20/2024
315,Garki,,17,4/20/2024,4/20/2024
316,Gumel,,17,4/20/2024,4/20/2024
317,Guri,,17,4/20/2024,4/20/2024
318,Gwaram,,17,4/20/2024,4/20/2024
319,Gwiwa,,17,4/20/2024,4/20/2024
320,Auyo,,17,4/20/2024,4/20/2024
321,Babura,,17,4/20/2024,4/20/2024
322,Biriniwa,,17,4/20/2024,4/20/2024
323,Birnin Kudu,,17,4/20/2024,4/20/2024
324,Hadejia,,17,4/20/2024,4/20/2024
325,Jahun,,17,4/20/2024,4/20/2024
326,Kafin Hausa,,17,4/20/2024,4/20/2024
327,Kaugama,,17,4/20/2024,4/20/2024
328,Kazaure,,17,4/20/2024,4/20/2024
329,Kiri Kasama,,17,4/20/2024,4/20/2024
330,Kiyawa,,17,4/20/2024,4/20/2024
331,Maigatari,,17,4/20/2024,4/20/2024
332,Malam Madori,,17,4/20/2024,4/20/2024
333,Miga,,17,4/20/2024,4/20/2024
334,Ringim,,17,4/20/2024,4/20/2024
335,Roni,,17,4/20/2024,4/20/2024
336,Sule Tankarkar,,17,4/20/2024,4/20/2024
337,Taura,,17,4/20/2024,4/20/2024
338,Yankwashi,,17,4/20/2024,4/20/2024
339,Kaduna North,,18,4/20/2024,4/20/2024
340,Kaduna South,,18,4/20/2024,4/20/2024
341,Birnin Gwari,,18,4/20/2024,4/20/2024
342,Chikun,,18,4/20/2024,4/20/2024
343,Giwa,,18,4/20/2024,4/20/2024
344,Igabi,,18,4/20/2024,4/20/2024
345,Kagarko,,18,4/20/2024,4/20/2024
346,Kajuru,,18,4/20/2024,4/20/2024
347,Kaura,,18,4/20/2024,4/20/2024
348,Kauru,,18,4/20/2024,4/20/2024
349,Kubau,,18,4/20/2024,4/20/2024
350,Kudan,,18,4/20/2024,4/20/2024
351,Ikara,,18,4/20/2024,4/20/2024
352,Jaba,,18,4/20/2024,4/20/2024
353,Jema’a,,18,4/20/2024,4/20/2024
354,Kachia,,18,4/20/2024,4/20/2024
355,Lere,,18,4/20/2024,4/20/2024
356,Makarfi,,18,4/20/2024,4/20/2024
357,Soba,,18,4/20/2024,4/20/2024
358,Zangon Kataf,,18,4/20/2024,4/20/2024
359,Sabon Gari,,18,4/20/2024,4/20/2024
360,Sanga,,18,4/20/2024,4/20/2024
361,Zaria,,18,4/20/2024,4/20/2024
